global_id,start,end,stroi,roads,stupid
797967927,2017-03-01T00:00:00,2017-09-30T00:00:00,0.33577749935273626,0.0,4.4
797967928,2017-03-01T00:00:00,2017-09-30T00:00:00,0.4321237440457286,0.0,3.4
797968018,2017-03-01T00:00:00,2017-09-30T00:00:00,0.09817261924099197,0.0,3.32
797968159,2017-03-01T00:00:00,2017-09-30T00:00:00,0.0,0.0,5.125
797968280,2017-03-01T00:00:00,2017-09-30T00:00:00,0.08323774646261872,0.0,2.75
797968385,2017-03-01T00:00:00,2017-09-30T00:00:00,0.02680547565423974,0.0,3.0
797968556,2017-03-01T00:00:00,2017-09-30T00:00:00,0.0,0.0,3.0
797968675,2017-03-01T00:00:00,2017-09-30T00:00:00,0.3396648927213587,0.0,2.75
797968807,2017-03-01T00:00:00,2017-09-30T00:00:00,0.3891528399051314,0.0,2.5217391304347827
797968886,2017-03-01T00:00:00,2017-09-30T00:00:00,0.4213126028637747,0.0,2.25
797968961,2017-03-01T00:00:00,2017-09-30T00:00:00,0.5102403803994022,0.0,1.3333333333333333
797969061,2017-03-01T00:00:00,2017-09-30T00:00:00,0.544196910831402,0.0,3.076923076923077
797969160,2017-03-01T00:00:00,2017-09-30T00:00:00,0.3436456390835714,0.0,1.0
797969280,2017-03-01T00:00:00,2017-09-30T00:00:00,0.8584229234559975,0.0,1.0
797969366,2017-03-01T00:00:00,2017-09-30T00:00:00,0.3384081054473327,0.0,1.5384615384615385
797969502,2017-03-01T00:00:00,2017-09-30T00:00:00,0.23330274694098851,0.0,2.0
797969632,2017-03-01T00:00:00,2017-09-30T00:00:00,0.4369514287326992,0.0,2.6666666666666665
797969723,2017-03-01T00:00:00,2017-09-30T00:00:00,0.1074652538528692,0.0,2.2413793103448274
797969846,2017-03-01T00:00:00,2017-09-30T00:00:00,0.4439061648416224,0.0,3.3
797969991,2017-03-01T00:00:00,2017-09-30T00:00:00,0.6435959856571498,0.0,3.0833333333333335
797970107,2017-03-01T00:00:00,2017-09-30T00:00:00,0.08056293761498867,0.0,4.4
797970108,2017-03-01T00:00:00,2017-09-30T00:00:00,0.1844744678391389,0.0,1.8
797970109,2017-03-01T00:00:00,2017-09-30T00:00:00,0.5113630729273833,0.0,1.537037037037037
797970110,2017-03-01T00:00:00,2017-09-30T00:00:00,0.22167586560707353,0.0,2.1627906976744184
797970111,2017-03-01T00:00:00,2017-09-30T00:00:00,0.48954623225612526,0.0,2.6842105263157894
797970112,2017-03-01T00:00:00,2017-09-30T00:00:00,0.6639607394961209,0.0,2.3555555555555556
797970113,2017-03-01T00:00:00,2017-09-30T00:00:00,0.010117437885694636,0.0,4.052631578947368
797970170,2017-03-01T00:00:00,2017-09-30T00:00:00,0.05420858413102492,0.0,2.0
